command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=-j72 -j72,0,1877.78,95543.74,16460.54,
cabal new-build clash-ghc --ghc-options=-j72 -j36,0,1874.50,95875.28,16332.28,
cabal new-build clash-ghc --ghc-options=-j72 -j18,0,1878.59,95633.07,16586.37,
cabal new-build clash-ghc --ghc-options=-j72 -j8,0,1934.03,98888.52,17562.29,
cabal new-build clash-ghc --ghc-options=-j72 -j4,0,2026.93,105829.89,17697.88,
cabal new-build clash-ghc --ghc-options=-j72 -j2,0,1354.03,53057.60,13259.05,
cabal new-build clash-ghc --ghc-options=-j72 -j1,0,1148.78,17162.83,12592.05,
cabal new-build clash-ghc --ghc-options=-j36 -j72,0,821.75,27349.20,5663.37,
cabal new-build clash-ghc --ghc-options=-j36 -j36,0,828.82,27676.84,5811.26,
cabal new-build clash-ghc --ghc-options=-j36 -j18,0,834.43,27905.75,5897.05,
cabal new-build clash-ghc --ghc-options=-j36 -j8,0,860.80,29840.44,5929.16,
cabal new-build clash-ghc --ghc-options=-j36 -j4,0,626.52,13113.91,4903.03,
cabal new-build clash-ghc --ghc-options=-j36 -j2,0,625.61,4891.98,4743.74,
cabal new-build clash-ghc --ghc-options=-j36 -j1,0,934.92,4749.56,4485.05,
cabal new-build clash-ghc --ghc-options=-j18 -j72,0,496.37,6906.80,2207.23,
cabal new-build clash-ghc --ghc-options=-j18 -j36,0,501.13,7094.63,2166.88,
cabal new-build clash-ghc --ghc-options=-j18 -j18,0,502.98,7055.60,2190.53,
cabal new-build clash-ghc --ghc-options=-j18 -j8,0,450.80,2860.35,2019.56,
cabal new-build clash-ghc --ghc-options=-j18 -j4,0,466.38,2331.14,1956.11,
cabal new-build clash-ghc --ghc-options=-j18 -j2,0,568.28,2244.69,1893.92,
cabal new-build clash-ghc --ghc-options=-j18 -j1,0,838.62,2154.39,1814.47,
cabal new-build clash-ghc --ghc-options=-j8 -j72,0,424.76,1884.35,811.72,
cabal new-build clash-ghc --ghc-options=-j8 -j36,0,424.33,1873.29,804.91,
cabal new-build clash-ghc --ghc-options=-j8 -j18,0,419.52,1567.75,810.81,
cabal new-build clash-ghc --ghc-options=-j8 -j8,0,424.07,1484.36,763.45,
cabal new-build clash-ghc --ghc-options=-j8 -j4,0,442.13,1446.82,736.66,
cabal new-build clash-ghc --ghc-options=-j8 -j2,0,535.98,1385.56,700.59,
cabal new-build clash-ghc --ghc-options=-j8 -j1,0,814.49,1386.62,708.32,
cabal new-build clash-ghc --ghc-options=-j4 -j72,0,425.56,1281.29,370.56,
cabal new-build clash-ghc --ghc-options=-j4 -j36,0,418.91,1285.46,374.53,
cabal new-build clash-ghc --ghc-options=-j4 -j18,0,421.45,1262.95,363.38,
cabal new-build clash-ghc --ghc-options=-j4 -j8,0,423.78,1204.59,334.06,
cabal new-build clash-ghc --ghc-options=-j4 -j4,0,439.09,1174.55,323.09,
cabal new-build clash-ghc --ghc-options=-j4 -j2,0,534.38,1138.92,309.57,
cabal new-build clash-ghc --ghc-options=-j4 -j1,0,808.22,1131.43,308.70,
cabal new-build clash-ghc --ghc-options=-j2 -j72,0,439.99,1140.53,166.09,
cabal new-build clash-ghc --ghc-options=-j2 -j36,0,443.97,1133.09,168.99,
cabal new-build clash-ghc --ghc-options=-j2 -j18,0,445.37,1110.62,162.80,
cabal new-build clash-ghc --ghc-options=-j2 -j8,0,453.00,1086.86,153.10,
cabal new-build clash-ghc --ghc-options=-j2 -j4,0,463.76,1063.52,149.78,
cabal new-build clash-ghc --ghc-options=-j2 -j2,0,566.73,1026.32,142.59,
cabal new-build clash-ghc --ghc-options=-j2 -j1,0,855.69,1015.67,143.13,
cabal new-build clash-ghc --ghc-options=-j1 -j72,0,476.59,983.52,69.44,
cabal new-build clash-ghc --ghc-options=-j1 -j36,0,475.62,975.97,68.68,
cabal new-build clash-ghc --ghc-options=-j1 -j18,0,477.72,953.90,77.21,
cabal new-build clash-ghc --ghc-options=-j1 -j8,0,481.75,947.02,64.78,
cabal new-build clash-ghc --ghc-options=-j1 -j4,0,502.07,924.63,67.51,
cabal new-build clash-ghc --ghc-options=-j1 -j2,0,635.31,898.37,64.27,
cabal new-build clash-ghc --ghc-options=-j1 -j1,0,952.93,876.52,69.03,
cabal new-run -- testsuite -p clash -j72,1,44.47,2735.27,264.98,
cabal new-run -- testsuite -p clash -j36,1,45.23,1462.28,190.14,
cabal new-run -- testsuite -p clash -j18,1,62.52,1021.63,141.67,
cabal new-run -- testsuite -p clash -j8,1,122.20,922.56,125.72,
cabal new-run -- testsuite -p clash -j4,1,229.11,992.51,127.03,
cabal new-run -- testsuite -p clash -j2,1,432.82,1118.83,127.06,
cabal new-run -- testsuite -p clash -j1,1,875.64,1466.96,156.91,
cabal new-install stack -j72,1,3704.87,220231.41,33565.09,GHC_THREADS=72
cabal new-install stack -j36,1,3734.61,222079.25,33569.19,GHC_THREADS=72
cabal new-install stack -j18,1,3700.08,219020.80,34197.16,GHC_THREADS=72
cabal new-install stack -j8,1,3802.55,222751.94,37242.54,GHC_THREADS=72
cabal new-install stack -j4,1,4064.97,239736.62,38676.20,GHC_THREADS=72
cabal new-install stack -j2,1,2370.10,111265.00,24171.81,GHC_THREADS=72
cabal new-install stack -j1,1,1758.99,29916.00,22807.34,GHC_THREADS=72
cabal new-install stack -j72,1,1339.83,68696.90,11376.42,GHC_THREADS=36
cabal new-install stack -j36,1,1343.58,68510.13,11648.96,GHC_THREADS=36
cabal new-install stack -j18,1,1420.19,72647.81,12698.39,GHC_THREADS=36
cabal new-install stack -j8,1,1556.78,82070.79,13511.19,GHC_THREADS=36
cabal new-install stack -j4,1,911.49,33702.69,9346.72,GHC_THREADS=36
cabal new-install stack -j2,1,821.42,8636.16,8896.73,GHC_THREADS=36
cabal new-install stack -j1,1,1394.41,8288.44,8276.89,GHC_THREADS=36
cabal new-install stack -j72,1,569.09,15892.89,4240.97,GHC_THREADS=18
cabal new-install stack -j36,1,576.26,16416.60,4298.73,GHC_THREADS=18
cabal new-install stack -j18,1,607.80,19089.81,4533.99,GHC_THREADS=18
cabal new-install stack -j8,1,442.68,7358.00,4048.00,GHC_THREADS=18
cabal new-install stack -j4,1,497.18,4157.32,3818.15,GHC_THREADS=18
cabal new-install stack -j2,1,731.56,3845.06,3501.87,GHC_THREADS=18
cabal new-install stack -j1,1,1232.76,3708.47,3370.76,GHC_THREADS=18
cabal new-install stack -j72,1,411.78,5000.47,1602.88,GHC_THREADS=8
cabal new-install stack -j36,1,412.53,5033.08,1616.61,GHC_THREADS=8
cabal new-install stack -j18,1,386.50,2970.21,1659.56,GHC_THREADS=8
cabal new-install stack -j8,1,384.31,2613.07,1501.23,GHC_THREADS=8
cabal new-install stack -j4,1,460.03,2447.24,1388.06,GHC_THREADS=8
cabal new-install stack -j2,1,691.06,2287.01,1315.45,GHC_THREADS=8
